Date,Close
2021-06-21,122.4793
2021-06-22,124.7603
2021-06-23,123.1405
2021-06-24,124.8926
2021-06-25,123.6694
2021-06-28,123.2893
2021-06-29,122.9091
2021-06-30,122.0331
2021-07-01,122.3306
2021-07-02,122.4793
2021-07-05,121.8347
2021-07-06,121.5372
2021-07-07,122.7273
2021-07-08,120.5455
2021-07-09,122.2479
2021-07-12,123.6694
2021-07-13,124.0496
2021-07-14,123.9835
2021-07-15,123.686
2021-07-16,123.1074
2021-07-19,121.3719
2021-07-20,122.0992
2021-07-21,123.3719
2021-07-22,123.3554
2021-07-23,124.4297
2021-07-26,123.2727
2021-07-27,123.2397
2021-07-28,123.719
2021-07-29,120.3471
2021-07-30,121.1405
2021-08-02,119.8843
2021-08-03,120.3967
2021-08-04,120.281
2021-08-05,121.4215
2021-08-06,121.5537
2021-08-09,121.6364
2021-08-10,122.4132
2021-08-11,122.876
2021-08-12,122.4297
2021-08-13,122.9587
2021-08-16,123.1074
2021-08-17,123.438
2021-08-18,124.6446
2021-08-19,125.3223
2021-08-20,125.2397
2021-08-23,124.9587
2021-08-24,124.2149
2021-08-25,123.9504
2021-08-26,124.3967
2021-08-27,124.562
2021-08-30,125.7355
2021-08-31,125.4711
2021-09-01,126.2479
2021-09-02,125.4215
2021-09-03,124.9091
2021-09-06,125.4711
2021-09-07,124.3802
2021-09-08,124.1157
2021-09-09,124.1488
2021-09-10,123.6033
2021-09-13,123.6694
2021-09-14,123.1901
2021-09-15,121.9669
2021-09-16,122.1488
2021-09-17,118.843
2021-09-20,116.9752
2021-09-21,119.4545
2021-09-22,119.5372
2021-09-23,119.9504
2021-09-24,119.1736
2021-09-27,118.0165
2021-09-28,115.8678
2021-09-29,115.438
2021-09-30,114.5289
2021-10-01,115.719
2021-10-04,115.0248
2021-10-05,115.3554
2021-10-06,114.0826
2021-10-07,115.9174
2021-10-08,115.124
2021-10-11,114.3471
2021-10-12,114.3306
2021-10-13,116.0826
2021-10-14,117.7355
2021-10-15,118.4297
2021-10-18,118.1488
2021-10-19,118.2314
2021-10-20,118.876
2021-10-21,118.6446
2021-10-22,118.2479
2021-10-25,118.1157
2021-10-26,118.5289
2021-10-27,119.438
2021-10-28,118.6777
2021-10-29,119.2066
2021-11-01,119.9008
2021-11-02,120.4297
2021-11-03,122.0992
2021-11-04,123.5041
2021-11-05,123.9174
2021-11-08,124.3471
2021-11-09,124.7107
2021-11-10,125.6694
2021-11-11,125.9008
2021-11-12,126.2645
2021-11-15,125.6033
2021-11-16,124.843
2021-11-17,125.3554
2021-11-18,125.6198
2021-11-19,126.8595
2021-11-22,126.7934
2021-11-23,125.157
2021-11-24,125.3554
2021-11-25,125.0909
2021-11-26,122.7603
2021-11-29,121.7851
2021-11-30,120.5124
2021-12-01,122.1818
2021-12-02,120.5785
2021-12-03,120.7107
2021-12-06,122.9421
2021-12-07,128.3636
2021-12-08,128.3802
2021-12-09,128.0
2021-12-10,127.7025
2021-12-13,128.0826
2021-12-14,126.3802
2021-12-15,127.2066
2021-12-16,127.8678
2021-12-17,126.281
2021-12-20,123.686
2021-12-21,123.8347
2021-12-22,124.2479
2021-12-23,125.2066
2021-12-24,124.3636
2021-12-27,125.9504
2021-12-28,126.843
2021-12-29,126.2314
2021-12-30,127.0083
2021-12-31,126.7107
2022-01-03,127.686
2022-01-04,130.1488
2022-01-05,132.2645
2022-01-06,129.7521
2022-01-07,129.2893
2022-01-10,128.9917
2022-01-11,129.5372
2022-01-12,130.7438
2022-01-13,129.405
2022-01-14,127.8843
2022-01-17,128.3471
2022-01-18,126.9256
2022-01-19,128.7603
2022-01-20,130.1983
2022-01-21,128.2645
2022-01-24,124.562
2022-01-25,125.7025
2022-01-26,125.9339
2022-01-27,126.876
2022-01-28,124.9587
2022-01-31,125.1074
2022-02-01,125.6694
2022-02-02,127.2893
2022-02-03,124.7934
2022-02-04,121.7025
2022-02-07,121.0744
2022-02-08,120.5124
2022-02-09,120.5455
2022-02-10,122.314
2022-02-11,118.7438
2022-02-14,117.4545
2022-02-15,119.438
2022-02-16,122.6446
2022-02-17,124.2314
2022-02-18,124.5785
2022-02-21,121.2231
2022-02-22,121.0579
2022-02-23,122.5289
2022-02-24,119.4876
2022-02-25,122.314
2022-02-28,122.8926
2022-03-01,122.281
2022-03-02,122.9917
2022-03-03,121.9174
2022-03-04,118.3802
2022-03-07,116.6777
2022-03-08,113.7355
2022-03-09,120.6446
2022-03-10,117.3223
2022-03-11,118.8099
2022-03-14,122.1983
2022-03-15,122.3471
2022-03-16,124.7934
2022-03-17,126.0496
2022-03-18,126.0661
2022-03-21,125.0083
2022-03-22,124.5785
2022-03-23,127.4545
2022-03-24,130.1157
2022-03-25,130.4132
2022-03-28,131.0909
2022-03-29,131.3884
2022-03-30,131.7355
2022-03-31,131.3388
2022-04-01,131.7355
2022-04-04,133.2231
2022-04-05,133.6694
2022-04-06,132.3636
2022-04-07,132.4297
2022-04-08,134.0661
2022-04-11,135.5372
2022-04-12,133.9669
2022-04-13,134.0661
2022-04-14,134.6281
2022-04-19,132.9752
2022-04-20,133.7025
2022-04-21,134.4297
2022-04-22,132.3967
2022-04-25,131.6859
2022-04-26,133.1736
2022-04-27,134.1322
2022-04-28,135.2397
2022-04-29,136.6446
2022-05-02,134.7273
2022-05-03,135.4711
2022-05-04,135.157
2022-05-05,135.4876
2022-05-06,132.9091
2022-05-09,129.6364
2022-05-10,130.281
2022-05-11,130.876
2022-05-12,130.2645
2022-05-13,134.2149
2022-05-16,132.0331
2022-05-17,134.7107
2022-05-18,133.6859
2022-05-19,131.9008
2022-05-20,132.3306
2022-05-23,134.4297
2022-05-24,132.9256
2022-05-25,133.1074
2022-05-26,133.9669
2022-05-27,136.9091
2022-05-30,136.4132
2022-05-31,134.5785
2022-06-01,132.0
2022-06-02,134.0165
2022-06-03,133.719
2022-06-06,134.7818
2022-06-07,133.7818
2022-06-08,131.0909
2022-06-09,128.9818
2022-06-10,126.4727
2022-06-13,125.7091
2022-06-14,122.7091
2022-06-15,124.4
2022-06-16,119.7091
2022-06-17,117.6364
2022-06-20,115.7455
2022-06-21,119.2727
2022-06-22,118.3455
2022-06-23,117.9273
2022-06-24,122.6364
2022-06-27,121.5818
2022-06-28,121.8
2022-06-29,119.8727
2022-06-30,116.4727
2022-07-01,115.4
2022-07-04,116.3636
2022-07-05,111.3091
2022-07-06,114.9636
2022-07-07,116.1273
2022-07-08,116.7818
2022-07-11,116.6
2022-07-12,116.2
2022-07-13,114.4364
2022-07-14,113.1273
2022-07-15,115.4727
2022-07-18,115.4545
2022-07-19,117.3273
2022-07-20,116.9091
2022-07-21,117.0364
2022-07-22,117.5818
2022-07-25,117.2
2022-07-26,117.3818
2022-07-27,117.3818
2022-07-28,121.1273
2022-07-29,121.9273
2022-08-01,120.4909
2022-08-02,119.9636
2022-08-03,120.5455
2022-08-04,121.5091
2022-08-05,121.2182
2022-08-08,122.3091
2022-08-09,121.7091
2022-08-10,122.9455
2022-08-11,122.6727
2022-08-12,123.4545
2022-08-15,124.8727
2022-08-16,123.8364
2022-08-17,123.1818
2022-08-18,124.0182
2022-08-19,124.0909
2022-08-22,120.0364
2022-08-23,119.0909
2022-08-24,120.2364
2022-08-25,120.0909
2022-08-26,117.8545
2022-08-29,116.5818
2022-08-30,116.0
2022-08-31,113.8182
2022-09-01,112.3273
2022-09-02,113.5636
2022-09-05,109.6727
