Date,Close
2021-06-21,9.92
2021-06-22,10.063
2021-06-23,10.149
2021-06-24,10.229
2021-06-25,10.343
2021-06-28,10.235
2021-06-29,9.967
2021-06-30,10.026
2021-07-01,10.15
2021-07-02,10.231
2021-07-06,10.187
2021-07-07,10.151
2021-07-08,10.047
2021-07-09,10.276
2021-07-12,10.496
2021-07-13,10.35
2021-07-14,10.555
2021-07-15,10.64
2021-07-16,10.251
2021-07-19,10.002
2021-07-20,9.967
2021-07-21,10.1
2021-07-22,10.201
2021-07-23,9.924
2021-07-26,9.991
2021-07-27,9.841
2021-07-28,9.989
2021-07-29,9.95
2021-07-30,9.801
2021-08-02,9.844
2021-08-03,9.801
2021-08-04,9.554
2021-08-05,9.403
2021-08-06,9.155
2021-08-09,9.14
2021-08-10,9.294
2021-08-11,9.555
2021-08-12,9.541
2021-08-13,9.601
2021-08-16,9.562
2021-08-17,9.302
2021-08-18,9.322
2021-08-19,9.084
2021-08-20,9.287
2021-08-23,9.464
2021-08-24,9.435
2021-08-25,9.32
2021-08-26,9.129
2021-08-27,9.432
2021-08-30,9.419
2021-08-31,9.477
2021-09-01,9.353
2021-09-02,9.336
2021-09-03,9.555
2021-09-07,9.31
2021-09-08,9.16
2021-09-09,9.128
2021-09-10,8.945
2021-09-13,8.983
2021-09-14,8.816
2021-09-15,8.789
2021-09-16,8.745
2021-09-17,8.775
2021-09-20,8.527
2021-09-21,8.955
2021-09-22,9.28
2021-09-23,9.27
2021-09-24,9.134
2021-09-27,9.151
2021-09-28,9.01
2021-09-29,8.893
2021-09-30,9.02
2021-10-01,9.099
2021-10-04,9.012
2021-10-05,8.989
2021-10-06,9.247
2021-10-07,9.171
2021-10-08,9.566
2021-10-11,9.401
2021-10-12,9.431
2021-10-13,9.53
2021-10-14,9.909
2021-10-15,9.862
2021-10-18,9.671
2021-10-19,9.713
2021-10-20,9.81
2021-10-21,9.826
2021-10-22,9.71
2021-10-25,9.873
2021-10-26,9.577
2021-10-27,9.397
2021-10-28,9.508
2021-10-29,9.471
2021-11-01,9.935
2021-11-02,9.664
2021-11-03,9.607
2021-11-04,9.593
2021-11-05,9.683
2021-11-08,9.884
2021-11-09,9.89
2021-11-10,9.97
2021-11-11,10.148
2021-11-12,10.096
2021-11-15,10.154
2021-11-16,9.9
2021-11-17,9.896
2021-11-18,9.78
2021-11-19,9.608
2021-11-22,9.471
2021-11-23,9.058
2021-11-24,9.15
2021-11-26,8.908
2021-11-29,8.972
2021-11-30,8.71
2021-12-01,8.66
2021-12-02,8.759
2021-12-03,8.709
2021-12-06,8.766
2021-12-07,8.865
2021-12-08,8.947
2021-12-09,8.72
2021-12-10,8.775
2021-12-13,8.657
2021-12-14,8.574
2021-12-15,8.571
2021-12-16,8.72
2021-12-17,8.697
2021-12-20,8.679
2021-12-21,8.709
2021-12-22,9.021
2021-12-23,9.071
2021-12-27,9.031
2021-12-28,9.061
2021-12-29,9.016
2021-12-30,8.959
2021-12-31,8.99
2022-01-03,8.913
2022-01-04,9.081
2022-01-05,9.15
2022-01-06,8.973
2022-01-07,8.922
2022-01-10,8.798
2022-01-11,9.09
2022-01-12,9.095
2022-01-13,9.027
2022-01-14,9.031
2022-01-18,9.153
2022-01-19,9.564
2022-01-20,9.698
2022-01-21,9.591
2022-01-24,9.57
2022-01-25,9.579
2022-01-26,9.613
2022-01-27,9.502
2022-01-28,9.397
2022-01-31,9.537
2022-02-01,9.562
2022-02-02,9.637
2022-02-03,9.627
2022-02-04,9.559
2022-02-07,9.529
2022-02-08,9.626
2022-02-09,9.635
2022-02-10,9.58
2022-02-11,9.596
2022-02-14,9.604
2022-02-15,9.573
2022-02-16,9.949
2022-02-17,10.156
2022-02-18,9.942
2022-02-22,10.007
2022-02-23,10.187
2022-02-24,9.838
2022-02-25,9.835
2022-02-28,9.72
2022-03-01,9.801
2022-03-02,9.985
2022-03-03,10.061
2022-03-04,10.453
2022-03-07,10.436
2022-03-08,10.764
2022-03-09,10.088
2022-03-10,10.103
2022-03-11,9.942
2022-03-14,9.67
2022-03-15,9.232
2022-03-16,9.513
2022-03-17,9.498
2022-03-18,9.523
2022-03-21,9.631
2022-03-22,9.523
2022-03-23,9.558
2022-03-24,9.546
2022-03-25,9.36
2022-03-28,9.16
2022-03-29,9.183
