Date,Close
2023-10-05,30.0
2023-10-06,30.059
2023-10-09,30.205
2023-10-10,29.58
2023-10-11,30.005
2023-10-12,29.595
2023-10-13,29.45
2023-10-16,29.215
2023-10-17,29.0849
2023-10-18,29.15
2023-10-19,29.32
2023-10-20,29.175
2023-10-23,29.365
2023-10-24,29.4802
2023-10-25,29.6948
2023-10-26,29.4052
2023-10-27,29.7556
2023-10-30,30.2235
2023-10-31,30.1649
2023-11-01,29.9697
2023-11-02,29.8749
2023-11-03,30.1052
2023-11-06,30.5302
2023-11-07,30.355
2023-11-08,30.2862
2023-11-09,29.9549
2023-11-10,29.6851
2023-11-13,29.75
2023-11-14,30.1412
2023-11-15,29.75
2023-11-16,29.3149
2023-11-17,29.41
2023-11-20,29.795
2023-11-21,29.86
2023-11-22,29.625
2023-11-24,29.58
2023-11-27,29.4169
2023-11-28,29.475
2023-11-29,29.41
2023-11-30,29.2208
2023-12-01,29.2818
2023-12-04,29.0471
2023-12-05,28.7699
2023-12-06,28.542
2023-12-07,28.34
2023-12-08,28.45
2023-12-11,28.49
2023-12-12,28.395
2023-12-13,28.345
2023-12-14,29.3858
2023-12-15,29.615
2023-12-18,30.275
2023-12-19,30.285
2023-12-20,29.895
2023-12-21,29.7453
2023-12-22,29.7453
2023-12-26,30.72
2023-12-27,31.585
2023-12-28,31.06
2023-12-29,31.4049
2024-01-02,30.5149
2024-01-03,30.5149
2024-01-04,29.875
2024-01-05,30.345
2024-01-08,29.105
2024-01-09,29.63
2024-01-10,29.215
2024-01-11,29.28
2024-01-12,29.04
2024-01-16,28.85
2024-01-17,28.49
2024-01-18,28.41
2024-01-19,28.47
2024-01-22,28.17
2024-01-23,29.315
2024-01-24,29.1146
2024-01-25,29.125
2024-01-26,29.475
2024-01-29,29.38
2024-01-30,29.8099
2024-01-31,29.505
2024-02-01,29.515
2024-02-02,29.525
2024-02-05,28.935
2024-02-06,28.745
2024-02-07,29.075
2024-02-08,28.73
2024-02-09,28.9585
2024-02-12,28.87
2024-02-13,28.895
2024-02-14,29.26
2024-02-15,28.97
2024-02-16,28.94
2024-02-20,28.795
2024-02-21,28.86
2024-02-22,28.625
2024-02-23,28.31
2024-02-26,28.2646
2024-02-27,28.595
2024-02-28,28.5014
2024-02-29,28.98
2024-03-01,29.33
2024-03-04,28.855
2024-03-05,29.275
2024-03-06,29.115
2024-03-07,29.46
2024-03-08,29.06
2024-03-11,29.315
2024-03-12,29.425
2024-03-13,29.305
2024-03-14,29.321
2024-03-15,29.51
2024-03-18,29.695
2024-03-19,29.585
2024-03-20,29.7424
2024-03-21,30.03
2024-03-22,29.84
2024-03-25,30.205
2024-03-26,30.155
2024-03-27,30.0101
2024-03-28,30.3551
2024-04-01,30.73
2024-04-02,30.915
2024-04-03,31.67
2024-04-04,31.625
2024-04-05,31.98
2024-04-08,32.2
2024-04-09,32.225
2024-04-10,32.145
2024-04-11,32.04
2024-04-12,32.33
2024-04-15,33.1357
2024-04-16,33.355
2024-04-17,33.39
2024-04-18,34.0399
2024-04-19,34.65
2024-04-22,34.52
2024-04-23,33.485
2024-04-24,33.705
2024-04-25,33.665
2024-04-26,33.455
2024-04-29,33.7379
2024-04-30,33.75
2024-05-01,34.1251
2024-05-02,33.06
2024-05-03,33.35
2024-05-06,33.8363
2024-05-07,33.6119
2024-05-08,33.175
2024-05-09,33.49
2024-05-10,33.01
2024-05-13,33.425
2024-05-14,33.345
2024-05-15,33.68
2024-05-16,33.625
2024-05-17,33.945
2024-05-20,33.945
2024-05-21,35.1751
2024-05-22,33.935
2024-05-23,33.5937
2024-05-24,34.3064
2024-05-28,35.515
2024-05-29,36.23
2024-05-30,35.1
2024-05-31,34.455
2024-06-03,34.3755
2024-06-04,34.1398
2024-06-05,34.6146
2024-06-06,34.23
2024-06-07,33.165
2024-06-10,32.6725
2024-06-11,32.725
2024-06-12,32.8201
2024-06-13,32.71
2024-06-14,32.31
2024-06-17,32.2174
2024-06-18,32.015
2024-06-20,32.265
2024-06-21,32.13
2024-06-24,32.0301
2024-06-25,31.8152
2024-06-26,32.575
2024-06-27,31.9635
2024-06-28,32.2008
2024-07-01,32.225
2024-07-02,32.4335
2024-07-03,32.6575
2024-07-05,32.455
2024-07-08,32.339
2024-07-09,31.76
2024-07-10,31.64
2024-07-11,31.5385
2024-07-12,31.5403
2024-07-15,31.105
2024-07-16,30.91
2024-07-17,30.595
2024-07-18,30.1319
2024-07-19,29.9851
2024-07-22,29.505
2024-07-23,29.3602
2024-07-24,29.4
2024-07-25,29.1442
2024-07-26,29.16
2024-07-29,28.69
2024-07-30,27.4807
2024-07-31,30.275
2024-08-01,29.0895
2024-08-02,28.4302
2024-08-05,28.2852
2024-08-06,28.96
2024-08-07,28.6
2024-08-08,28.6261
2024-08-09,29.1151
2024-08-12,28.9353
2024-08-13,28.4749
2024-08-14,29.0804
2024-08-15,29.495
2024-08-16,29.5751
2024-08-19,31.68
2024-08-20,32.1704
2024-08-21,31.2482
2024-08-22,30.77
2024-08-23,31.23
2024-08-26,32.225
2024-08-27,32.0052
2024-08-28,32.0052
2024-08-29,30.6198
2024-08-30,31.1
2024-09-03,30.995
2024-09-04,30.995
2024-09-05,30.995
2024-09-06,30.995
2024-09-09,29.5552
2024-09-10,30.4601
2024-09-11,30.4601
2024-09-12,29.9349
2024-09-13,29.9349
2024-09-16,31.2491
2024-09-17,31.3717
2024-09-18,31.5626
2024-09-19,31.775
2024-09-20,31.3275
2024-09-23,31.0686
2024-09-24,32.4
2024-09-25,31.9547
2024-09-26,32.9051
2024-09-27,33.37
2024-09-30,33.37
2024-10-01,33.0403
2024-10-02,34.1152
2024-10-03,34.04
2024-10-04,34.645
2024-10-07,33.36
2024-10-08,32.965
2024-10-09,32.0838
2024-10-10,33.2299
2024-10-11,33.205
2024-10-14,33.205
2024-10-15,33.205
2024-10-16,33.205
2024-10-17,33.205
2024-10-18,33.205
