Date,Close
2021-08-05,116.245
2021-08-06,116.24
2021-08-09,116.22
2021-08-10,116.235
2021-08-11,116.235
2021-08-12,116.22
2021-08-13,116.23
2021-08-16,116.225
2021-08-17,116.225
2021-08-18,116.215
2021-08-19,116.215
2021-08-20,116.215
2021-08-23,116.205
2021-08-24,116.205
2021-08-25,116.205
2021-08-26,116.195
2021-08-27,116.195
2021-08-30,116.19
2021-08-31,116.185
2021-09-01,116.185
2021-09-02,116.175
2021-09-03,116.175
2021-09-06,116.175
2021-09-07,116.165
2021-09-08,116.165
2021-09-09,116.165
2021-09-10,116.155
2021-09-13,116.155
2021-09-14,116.155
2021-09-15,116.155
2021-09-16,116.145
2021-09-17,116.145
2021-09-20,116.14
2021-09-21,116.135
2021-09-22,116.135
2021-09-23,116.13
2021-09-24,116.135
2021-09-27,116.125
2021-09-28,116.13
2021-09-29,116.12
2021-09-30,116.115
2021-10-01,116.115
2021-10-04,116.11
2021-10-05,116.11
2021-10-06,116.12
2021-10-07,116.1
2021-10-08,116.09
2021-10-11,116.11
2021-10-12,116.07
2021-10-13,116.08
2021-10-14,116.08
2021-10-15,116.07
2021-10-18,116.07
2021-10-19,116.07
2021-10-20,116.065
2021-10-21,116.06
2021-10-22,116.055
2021-10-25,116.055
2021-10-26,116.055
2021-10-27,116.05
2021-10-28,116.05
2021-10-29,116.035
2021-11-01,116.04
2021-11-02,116.04
2021-11-03,116.04
2021-11-04,116.035
2021-11-05,116.035
2021-11-08,116.03
2021-11-09,116.035
2021-11-10,116.03
2021-11-11,116.025
2021-11-12,116.025
2021-11-15,116.025
2021-11-16,116.035
2021-11-17,116.03
2021-11-18,116.025
2021-11-19,116.025
2021-11-22,116.025
2021-11-23,116.025
2021-11-24,116.025
2021-11-25,116.015
2021-11-26,116.01
2021-11-29,116.01
2021-11-30,116.035
2021-12-01,116.01
2021-12-02,116.01
2021-12-03,116.0
2021-12-06,115.995
2021-12-07,115.99
2021-12-08,115.99
2021-12-09,115.99
2021-12-10,115.955
2021-12-13,115.955
2021-12-14,115.95
2021-12-15,115.94
2021-12-16,115.935
2021-12-17,115.94
2021-12-20,115.93
2021-12-21,115.92
2021-12-22,115.91
2021-12-23,115.895
2021-12-24,115.925
2021-12-27,115.885
2021-12-28,115.895
2021-12-29,115.915
2021-12-30,115.875
2021-12-31,115.88
2022-01-03,115.86
2022-01-04,115.855
2022-01-05,115.83
2022-01-06,115.845
2022-01-07,115.855
2022-01-10,115.86
2022-01-11,115.82
2022-01-12,115.83
2022-01-13,115.825
2022-01-14,115.82
2022-01-17,115.82
2022-01-18,115.81
2022-01-19,115.815
2022-01-20,115.805
2022-01-21,115.84
2022-01-24,115.805
2022-01-25,115.805
2022-01-26,115.8
2022-01-27,115.79
2022-01-28,115.785
2022-01-31,115.785
2022-02-01,115.78
2022-02-02,115.78
2022-02-03,115.765
2022-02-04,115.77
2022-02-07,115.76
2022-02-08,115.785
2022-02-09,115.76
2022-02-10,115.76
2022-02-11,115.755
2022-02-14,115.755
2022-02-15,115.78
2022-02-16,115.75
2022-02-17,115.745
2022-02-18,115.74
2022-02-21,115.74
2022-02-22,115.735
2022-02-23,115.735
2022-02-24,115.73
2022-02-25,115.73
2022-02-28,115.73
2022-03-01,115.73
2022-03-02,115.725
2022-03-03,115.725
2022-03-04,115.715
2022-03-07,115.72
2022-03-08,115.72
2022-03-09,115.715
2022-03-10,115.72
2022-03-11,115.67
2022-03-14,115.71
2022-03-15,115.7
2022-03-16,115.69
2022-03-17,115.685
2022-03-18,115.68
2022-03-21,115.67
2022-03-22,115.665
2022-03-23,115.7
2022-03-24,115.63
2022-03-25,115.665
2022-03-28,115.66
2022-03-29,115.64
2022-03-30,115.61
2022-03-31,115.63
2022-04-01,115.625
2022-04-04,115.62
2022-04-05,115.62
2022-04-06,115.63
2022-04-07,115.61
2022-04-08,115.61
2022-04-11,115.645
2022-04-12,115.62
2022-04-13,115.615
2022-04-14,115.6
2022-04-19,115.575
2022-04-20,115.585
2022-04-21,115.575
2022-04-22,115.57
2022-04-25,115.565
2022-04-26,115.575
2022-04-27,115.535
2022-04-28,115.565
2022-04-29,115.56
2022-05-02,115.545
2022-05-03,115.555
2022-05-04,115.54
2022-05-05,115.56
2022-05-06,115.48
2022-05-09,115.525
2022-05-10,115.52
2022-05-11,115.55
2022-05-12,115.515
2022-05-13,115.52
2022-05-16,115.51
2022-05-17,115.505
2022-05-18,115.5
2022-05-19,115.495
2022-05-20,115.49
2022-05-23,115.495
2022-05-24,115.495
2022-05-25,115.505
2022-05-26,115.48
2022-05-27,115.48
2022-05-30,115.475
2022-05-31,115.47
2022-06-01,115.465
2022-06-02,115.455
2022-06-03,115.46
2022-06-06,115.445
2022-06-07,115.445
2022-06-08,115.44
2022-06-09,115.46
2022-06-10,115.45
2022-06-13,115.445
2022-06-14,115.425
2022-06-15,115.425
2022-06-16,115.44
2022-06-17,115.445
2022-06-20,115.405
2022-06-21,115.405
2022-06-22,115.37
2022-06-23,115.45
2022-06-24,115.405
2022-06-27,115.395
2022-06-28,115.4
2022-06-29,115.395
2022-06-30,115.39
2022-07-01,115.43
2022-07-04,115.42
2022-07-05,115.39
2022-07-06,115.385
2022-07-07,115.38
2022-07-08,115.375
2022-07-11,115.37
2022-07-12,115.375
2022-07-13,115.395
2022-07-14,115.405
2022-07-15,115.38
2022-07-18,115.39
2022-07-19,115.33
2022-07-20,115.325
2022-07-21,115.29
2022-07-22,115.28
2022-07-25,115.3
2022-07-26,115.295
2022-07-27,115.29
2022-07-28,115.295
2022-07-29,115.295
2022-08-01,115.3
2022-08-02,115.295
2022-08-03,115.29
2022-08-04,115.295
2022-08-05,115.295
2022-08-08,115.29
2022-08-09,115.29
2022-08-10,115.245
2022-08-11,115.285
2022-08-12,115.25
2022-08-15,115.295
2022-08-16,115.29
2022-08-17,115.285
2022-08-18,115.205
2022-08-19,115.3
2022-08-22,115.285
2022-08-23,115.215
2022-08-24,115.335
2022-08-25,115.305
2022-08-26,115.295
2022-08-29,115.29
2022-08-30,115.245
2022-08-31,115.24
2022-09-01,115.275
2022-09-02,115.275
2022-09-05,115.245
2022-09-06,115.245
2022-09-07,115.235
2022-09-08,115.2
2022-09-09,115.2
2022-09-12,115.17
2022-09-13,115.17
2022-09-14,115.18
2022-09-15,115.185
2022-09-16,115.17
2022-09-19,115.105
2022-09-20,115.125
2022-09-21,115.145
2022-09-22,115.145
2022-09-23,115.135
2022-09-26,115.14
2022-09-27,115.145
2022-09-28,115.155
